id,start,read_length
0,28202,224
1,5317,267
2,23857,288
3,25690,216
4,33641,241
5,17093,316
6,10308,187
7,27999,238
8,49236,271
9,18804,278
10,11230,307
11,40352,257
12,22262,264
13,43065,238
14,14604,268
15,40531,237
16,33960,254
17,43127,269
18,33278,235
19,32676,274
20,3949,256
21,19997,197
22,20073,251
23,8942,227
24,9283,221
25,14823,235
26,6394,303
27,40772,216
28,18359,244
29,17422,256
30,48741,244
31,24647,188
32,45841,255
33,12632,225
34,19047,283
35,15996,259
36,40268,248
37,5943,251
38,47485,296
39,21200,227
40,12594,263
41,38643,270
42,36749,217
43,37579,205
44,12291,258
45,23425,182
46,71,303
47,45828,225
48,39854,227
49,19679,232
50,31206,260
51,7581,277
52,30479,254
53,41535,271
54,9250,253
55,46656,232
56,4577,250
57,23140,248
58,40781,284
59,11348,266
60,34439,240
61,8743,258
62,37486,247
63,36402,220
64,30251,236
65,76,228
66,46506,261
67,26829,217
68,33673,239
69,38254,242
70,8775,201
71,38812,190
72,36813,250
73,426,204
74,30366,256
75,8367,275
76,29848,251
77,22219,259
78,1892,283
79,5573,232
80,9625,215
81,16129,221
82,42240,318
83,22186,277
84,26756,250
85,16217,287
86,32800,241
87,22772,258
88,36425,265
89,22743,227
90,33065,284
91,43149,262
92,171,264
93,6008,237
94,49469,271
95,10400,252
96,8520,236
97,10131,291
98,21962,268
99,1273,235
100,8125,222
101,41453,217
102,33810,274
103,1155,210
104,33439,264
105,48637,243
106,49065,252
107,2779,219
108,31290,214
109,19976,269
110,30771,316
111,29330,251
112,19444,262
113,10452,266
114,36548,298
115,20148,239
116,207,252
117,25930,281
118,4140,227
119,19069,237
120,47056,197
121,16438,272
122,7282,298
123,20669,253
124,38288,227
125,28235,255
126,13381,251
127,36045,235
128,3241,209
129,6200,243
130,17526,278
131,33965,233
132,15951,229
133,21935,221
134,7402,266
135,14456,296
136,14962,271
137,13505,276
138,11425,187
139,45228,217
140,28071,188
141,3452,253
142,37561,314
143,45067,248
144,26537,233
145,32533,214
146,27639,245
147,11041,268
148,33944,269
149,43053,250
150,33858,235
151,7548,274
152,28566,263
153,21905,247
154,4663,289
155,33566,200
156,28453,274
157,24344,240
158,18665,273
159,12053,259
160,22773,241
161,37418,252
162,29542,272
163,28910,285
164,46422,250
165,49088,269
166,22417,278
167,33304,316
168,17504,241
169,37920,272
170,19621,188
171,37622,283
172,41081,239
173,37401,284
174,38530,260
175,4902,261
176,35412,291
177,22846,302
178,31910,267
179,9539,225
180,19145,268
181,17856,310
182,24396,234
183,44535,240
184,21077,276
185,48146,252
186,17327,273
187,48057,232
188,47583,226
189,8135,206
190,42710,231
191,37948,290
192,14733,182
193,7528,247
194,8420,302
195,17677,262
196,16051,244
197,9419,214
198,15104,317
199,20123,216
200,26013,263
201,47169,291
202,34060,272
203,42841,281
204,37213,277
205,44177,258
206,41118,263
207,15585,230
208,12793,251
209,31485,221
210,34732,241
211,27911,202
212,14830,232
213,34567,245
214,23198,249
215,16561,279
216,36569,286
217,33171,276
218,27200,224
219,4548,213
220,9524,239
221,15158,266
222,4480,222
223,23746,225
224,38144,233
225,4015,277
226,5784,183
227,26178,221
228,19173,224
229,36064,208
230,9060,238
231,14042,258
232,28647,233
233,5490,229
234,46740,275
235,8438,250
236,21621,187
237,415,244
238,35440,222
239,5689,228
240,25295,296
241,12917,205
242,25653,249
243,18990,249
244,9736,247
245,37247,276
246,48057,293
247,47288,280
248,49022,215
249,46840,255
250,38226,261
251,45053,211
252,49270,268
253,23717,199
254,38145,270
255,14703,283
256,37825,240
257,29384,270
258,42957,178
259,22081,237
260,10661,240
261,38201,233
262,25010,280
263,45886,232
264,5974,237
265,35101,237
266,22179,220
267,40363,227
268,5788,265
269,22402,236
270,45532,279
271,49480,212
272,39646,244
273,26603,232
274,29093,225
275,44003,259
276,46804,245
277,18110,238
278,43796,252
279,26358,271
280,40897,257
281,40388,259
282,39967,306
283,38468,275
284,11328,272
285,7417,231
286,36592,262
287,42866,199
288,45575,306
289,21425,292
290,28095,289
291,28407,259
292,7112,229
293,35197,252
294,23262,242
295,16379,241
296,42140,251
297,29835,182
298,17612,201
299,23788,262
300,43527,276
301,26960,215
302,22557,302
303,38213,262
304,12119,235
305,18629,215
306,48495,260
307,33007,270
308,43163,223
309,35351,321
310,12237,261
311,44403,195
312,34015,241
313,16351,301
314,25778,263
315,46270,244
316,20205,247
317,38642,298
318,43291,207
319,46600,224
320,28071,265
321,29428,239
322,11721,215
323,48459,221
324,25320,258
325,7529,216
326,13383,251
327,45241,258
328,24353,142
329,43864,279
330,32960,225
331,17362,263
332,5716,264
333,41806,268
334,11105,282
335,16413,209
336,47424,251
337,45755,252
338,15696,216
339,36792,284
340,29492,263
341,35539,260
342,16617,295
343,25573,262
344,44006,221
345,23113,217
346,32071,164
347,8489,253
348,586,216
349,17897,233
350,4685,250
351,4564,226
352,47067,257
353,49117,274
354,25376,246
355,3811,258
356,6743,244
357,20975,242
358,27810,317
359,37908,249
360,44423,259
361,3200,280
362,36858,248
363,7870,243
364,35810,211
365,37503,276
366,3345,255
367,43554,225
368,26608,254
369,22280,274
370,41432,238
371,27202,301
372,44217,239
373,22868,266
374,21702,241
375,29227,269
376,16081,272
377,26276,189
378,14955,274
379,6606,210
380,708,234
381,16294,268
382,11418,186
383,7689,199
384,30349,217
385,39977,301
386,3076,254
387,10823,250
388,48583,238
389,35739,266
390,22403,196
391,28814,240
392,26507,243
393,1986,202
394,5585,238
395,47516,291
396,43989,235
397,49037,259
398,26987,275
399,48143,236
400,45006,209
401,12896,204
402,33389,299
403,18158,193
404,6464,281
405,36923,272
406,43580,243
407,23943,249
408,9324,248
409,17726,293
410,31715,246
411,26262,184
412,25116,284
413,43923,275
414,43306,241
415,29657,260
416,788,268
417,8014,235
418,41288,195
419,24280,213
420,18663,262
421,14570,269
422,20969,268
423,48448,290
424,22733,253
425,17882,268
426,32455,225
427,33436,266
428,28820,322
429,49685,196
430,22215,224
431,11235,237
432,22123,265
433,31625,226
434,3117,265
435,17132,272
436,27653,284
437,9406,246
438,16984,226
439,15923,217
440,36302,234
441,13483,260
442,39493,233
443,8665,273
444,15949,236
445,24161,256
446,5624,207
447,23545,267
448,12417,244
449,36499,268
450,18419,190
451,33062,209
452,10127,223
453,2236,250
454,32638,261
455,25610,221
456,20286,269
457,30594,255
458,19289,292
459,40213,258
460,36918,242
461,10909,235
462,11820,252
463,6888,213
464,47899,260
465,40009,227
466,12414,208
467,9664,266
468,42842,251
469,19904,296
470,17869,204
471,26271,269
472,802,256
473,4823,258
474,12887,282
475,28471,274
476,46917,281
477,34426,233
478,24851,213
479,38480,274
480,49240,248
481,20810,312
482,6048,278
483,12525,260
484,34993,248
485,28221,288
486,70,231
487,30814,273
488,17377,239
489,41939,268
490,35243,230
491,17850,234
492,22615,238
493,14829,323
494,23868,151
495,42460,245
496,4580,195
497,27646,253
498,17183,206
499,45374,222
500,45166,228
501,35259,246
502,45374,285
503,42845,251
504,28671,275
505,47490,246
506,5947,280
507,26534,243
508,32533,246
509,27643,322
510,28640,228
511,10444,281
512,8840,253
513,32333,270
514,43144,282
515,49695,230
516,7318,256
517,2180,278
518,32241,252
519,24409,228
520,9658,287
521,33279,213
522,37293,294
523,46636,286
524,11847,261
525,12249,220
526,16545,267
527,22367,250
528,5958,249
529,37782,247
530,20666,255
531,39722,227
532,2421,242
533,46843,287
534,14088,237
535,42190,267
536,23236,235
537,23824,327
538,32909,256
539,3017,206
540,49493,285
541,8247,255
542,4000,245
543,7230,238
544,4739,248
545,14473,274
546,35651,265
547,30445,239
548,19383,239
549,40832,209
550,2618,257
551,36259,243
552,19007,232
553,38573,242
554,34784,257
555,26064,250
556,18929,244
557,42338,260
558,31475,271
559,5437,212
560,46170,208
561,1381,288
562,15518,206
563,23504,244
564,39425,191
565,19329,214
566,27963,305
567,43878,256
568,8491,251
569,43565,237
570,39978,255
571,26529,220
572,45613,238
573,45645,207
574,31217,284
